x,y
25.25918,-36.174427
25.25904,-36.17469
25.259043,-36.174675
25.259043,-36.174667
25.259037,-36.17467
25.25918,-36.174427
25.373663,-35.8478
25.259037,-36.174683
25.394978,-35.824715
25.38379,-35.835506
20.266426,-67.03341
20.266415,-67.03348
20.26594,-67.033936
20.266424,-67.03342
20.266426,-67.03341
20.266424,-67.03342
20.266426,-67.03342
20.26618,-67.03373
20.266426,-67.03342
20.266415,-67.03348
33.45171,-40.7296
33.45174,-40.729626
33.451714,-40.729618
33.45171,-40.729618
33.45174,-40.729614
33.45171,-40.729614
33.451748,-40.72961
33.451706,-40.729614
33.451706,-40.729614
33.451714,-40.729614
29.846466,1.6275144
29.84646,1.6275052
29.846466,1.6275142
29.846588,1.6274213
29.846466,1.6275142
29.846466,1.6275144
29.846466,1.6275151
29.846464,1.6274406
29.846466,1.6275144
29.84646,1.6274464
39.780453,-6.6211305
39.780457,-6.6211324
39.780453,-6.6211305
39.780457,-6.621134
39.780457,-6.6211305
39.780457,-6.6211324
39.780453,-6.6211324
39.780453,-6.6211324
39.780457,-6.6211314
39.780457,-6.6211305
38.112064,-3.2574725
38.16356,-3.218651
38.110744,-3.258489
37.945396,-3.464221
38.10921,-3.2596633
38.116123,-3.2543545
37.93791,-3.4889934
37.9448,-3.465939
38.109715,-3.2592819
37.94559,-3.4636505
27.269184,13.854816
27.269342,13.854185
27.269352,13.854174
27.269342,13.854187
27.26932,13.854316
27.269352,13.854174
27.269352,13.854175
27.269352,13.854175
27.269348,13.854179
27.269354,13.854175
8.780253,57.667038
8.780265,57.66706
8.780255,57.667027
8.780259,57.667046
8.780254,57.667034
8.780254,57.66704
8.780262,57.667053
8.780272,57.66706
8.780258,57.667038
8.780253,57.667027
9.857203,53.91614
9.857213,53.916134
9.857252,53.91613
9.857558,53.916122
9.857251,53.91613
9.857201,53.916122
9.857204,53.916134
9.857204,53.916138
9.857211,53.916122
9.857214,53.916134
28.009424,11.988804
27.738306,11.903477
27.73829,11.903466
27.73829,11.903467
28.007713,11.988363
28.00743,11.98832
27.738617,11.903595
27.738323,11.903488
28.007439,11.988323
28.008266,11.988489
29.69176,3.8738642
29.691757,3.8738704
29.691776,3.8738573
29.691774,3.8738525
29.69176,3.873862
29.691767,3.8738592
29.691767,3.8738658
29.69177,3.873872
29.69177,3.8738594
29.691761,3.8738613
55.47374,-17.918512
55.473732,-17.918512
55.473713,-17.91858
55.47374,-17.918516
55.473743,-17.918509
55.47374,-17.91851
55.473743,-17.91851
55.473736,-17.91851
55.473736,-17.91851
55.473713,-17.918577
76.315475,10.948793
76.31622,10.948816
76.3156,10.948672
76.316154,10.948761
76.316,10.9487705
76.315865,10.948807
76.31531,10.94863
76.31512,10.948749
76.316185,10.948766
76.31595,10.948814
64.5816,25.846579
64.581604,25.846554
64.58213,25.846792
64.581436,25.846485
64.58195,25.846731
64.58107,25.846273
64.58194,25.846735
64.58176,25.8466
64.582146,25.846775
64.58213,25.846792
26.816454,-6.9415016
26.816456,-6.9414983
26.816456,-6.9415007
26.816462,-6.941495
26.816456,-6.9415016
26.816456,-6.9415
26.816456,-6.9415
26.816465,-6.9414945
26.81646,-6.9414964
26.816462,-6.941496
25.822779,-13.286488
25.822779,-13.286499
25.822786,-13.28653
25.82278,-13.286476
25.82278,-13.286517
25.82278,-13.286485
25.82278,-13.286509
25.822779,-13.286499
25.822779,-13.286475
25.822779,-13.286475
10.269423,29.912542
10.269629,29.912476
10.269032,29.912676
10.269032,29.912676
10.269235,29.91261
10.269033,29.912668
10.269424,29.91254
10.270235,29.912283
10.269626,29.912477
10.269626,29.912481
6.8272185,38.09237
6.8271446,38.09228
6.827132,38.092266
6.83358,38.093582
6.8273168,38.092476
6.8271985,38.092358
6.8271422,38.092285
6.8271284,38.09227
6.8272285,38.09239
6.8271413,38.092274
9.755043,31.151081
9.755028,31.151125
9.755048,31.151081
9.755048,31.151075
9.755048,31.151081
9.755045,31.15109
9.7550535,31.151081
9.755047,31.151081
9.755052,31.151083
9.755035,31.151114
26.31628,-9.251464
26.316269,-9.251481
26.31628,-9.251465
26.31628,-9.251455
26.31628,-9.251458
26.316278,-9.251457
26.316269,-9.251489
26.316278,-9.251467
26.31628,-9.25146
26.316273,-9.251483
30.358068,-19.16452
30.358046,-19.164516
30.358047,-19.164515
30.358072,-19.164518
30.35804,-19.16452
30.358046,-19.164516
30.35805,-19.164515
30.358046,-19.164516
30.358044,-19.164516
30.358046,-19.164516
8.331928,53.69088
8.332263,53.690865
8.33196,53.690845
8.332228,53.690876
8.3322735,53.69087
8.33195,53.690872
8.332241,53.690865
8.331946,53.690876
8.331955,53.69087
8.331905,53.690872
26.60814,28.244442
26.608139,28.24444
26.608139,28.24444
26.608143,28.244444
26.608139,28.24444
26.608139,28.24444
26.608139,28.24444
26.608139,28.24444
26.608139,28.24444
26.608139,28.24444
9.63506,61.559635
9.6350565,61.559628
9.635065,61.559635
9.635056,61.559624
9.635062,61.559635
9.6350565,61.559628
9.635058,61.559628
9.635056,61.559624
9.635058,61.55963
9.635058,61.559624
80.406,6.8353424
80.405975,6.8353014
80.40598,6.8353033
80.40598,6.835314
80.405975,6.835307
80.405975,6.835314
80.40598,6.8353033
80.40598,6.835314
80.40598,6.8353033
80.40598,6.8353033
29.983128,36.661427
29.983128,36.661427
29.983128,36.661427
29.983128,36.661427
29.983128,36.661427
29.983128,36.661427
29.983128,36.661427
29.983128,36.661427
29.983126,36.661427
29.983128,36.661427
36.61811,-23.734243
36.618122,-23.734287
36.61812,-23.734285
36.618107,-23.734184
36.618126,-23.73429
36.61812,-23.734285
36.618122,-23.73429
36.618103,-23.734205
36.618126,-23.73429
36.618126,-23.734123
30.603073,33.030384
30.603199,33.030342
30.603258,33.030296
30.60325,33.030376
30.60317,33.030376
30.602978,33.03043
30.603046,33.030396
30.603226,33.03033
30.60305,33.03042
30.603231,33.030308
37.451626,47.548023
37.451603,47.548035
37.451584,47.548054
37.451603,47.548035
37.45154,47.54808
37.451584,47.54805
37.451565,47.548065
37.45154,47.54808
37.45163,47.548023
37.451565,47.54807
39.94095,46.941296
39.94095,46.94129
39.94095,46.94129
39.94095,46.94129
39.94095,46.94129
39.94095,46.94129
39.94095,46.941296
39.94095,46.94129
39.94095,46.94129
39.94095,46.941296
47.565166,56.290474
47.565166,56.290474
47.565166,56.290478
47.565163,56.290478
47.565163,56.290478
47.565166,56.290474
47.565166,56.290474
47.565163,56.290478
47.565166,56.290478
47.565163,56.290478
51.06117,44.608456
51.06117,44.60845
51.06117,44.60845
51.06117,44.60845
