x,y,id
25.25918,-36.174427,0
25.25904,-36.17469,1
25.259043,-36.174675,2
25.259043,-36.174667,3
25.259037,-36.17467,4
25.25918,-36.174427,5
25.373663,-35.8478,6
25.259037,-36.174683,7
25.394978,-35.824715,8
25.38379,-35.835506,9
20.266426,-67.03341,10
20.266415,-67.03348,11
20.26594,-67.033936,12
20.266424,-67.03342,13
20.266426,-67.03341,14
20.266424,-67.03342,15
20.266426,-67.03342,16
20.26618,-67.03373,17
20.266426,-67.03342,18
20.266415,-67.03348,19
33.45171,-40.7296,20
33.45174,-40.729626,21
33.451714,-40.729618,22
33.45171,-40.729618,23
33.45174,-40.729614,24
33.45171,-40.729614,25
33.451748,-40.72961,26
33.451706,-40.729614,27
33.451706,-40.729614,28
33.451714,-40.729614,29
29.846466,1.6275144,30
29.84646,1.6275052,31
29.846466,1.6275142,32
29.846588,1.6274213,33
29.846466,1.6275142,34
29.846466,1.6275144,35
29.846466,1.6275151,36
29.846464,1.6274406,37
29.846466,1.6275144,38
29.84646,1.6274464,39
39.780453,-6.6211305,40
39.780457,-6.6211324,41
39.780453,-6.6211305,42
39.780457,-6.621134,43
39.780457,-6.6211305,44
39.780457,-6.6211324,45
39.780453,-6.6211324,46
39.780453,-6.6211324,47
39.780457,-6.6211314,48
39.780457,-6.6211305,49
38.112064,-3.2574725,50
38.16356,-3.218651,51
38.110744,-3.258489,52
37.945396,-3.464221,53
38.10921,-3.2596633,54
38.116123,-3.2543545,55
37.93791,-3.4889934,56
37.9448,-3.465939,57
38.109715,-3.2592819,58
37.94559,-3.4636505,59
27.269184,13.854816,60
27.269342,13.854185,61
27.269352,13.854174,62
27.269342,13.854187,63
27.26932,13.854316,64
27.269352,13.854174,65
27.269352,13.854175,66
27.269352,13.854175,67
27.269348,13.854179,68
27.269354,13.854175,69
8.780253,57.667038,70
8.780265,57.66706,71
8.780255,57.667027,72
8.780259,57.667046,73
8.780254,57.667034,74
8.780254,57.66704,75
8.780262,57.667053,76
8.780272,57.66706,77
8.780258,57.667038,78
8.780253,57.667027,79
9.857203,53.91614,80
9.857213,53.916134,81
9.857252,53.91613,82
9.857558,53.916122,83
9.857251,53.91613,84
9.857201,53.916122,85
9.857204,53.916134,86
9.857204,53.916138,87
9.857211,53.916122,88
9.857214,53.916134,89
28.009424,11.988804,90
27.738306,11.903477,91
27.73829,11.903466,92
27.73829,11.903467,93
28.007713,11.988363,94
28.00743,11.98832,95
27.738617,11.903595,96
27.738323,11.903488,97
28.007439,11.988323,98
28.008266,11.988489,99
29.69176,3.8738642,100
29.691757,3.8738704,101
29.691776,3.8738573,102
29.691774,3.8738525,103
