x,y,ађСа
0.001385191326596104,-0.010881695804173695,0
0.0013851916526701025,-0.010881696401874835,1
0.0013851916578664493,-0.010881696411948057,2
0.0013851916594340699,-0.01088169641546717,3
0.0013851916490027288,-0.01088169639871524,4
0.001385191326596104,-0.010881695804173695,5
0.0013851913249266485,-0.010881695801089377,6
0.0013851916423732462,-0.010881696386700423,7
0.0013851912419979174,-0.010881695650181652,8
0.0013851913267305888,-0.010881695805751214,9
0.004742940247209186,-0.01381984179305273,10
0.0047429399177962754,-0.013819841189182955,11
0.004742938707094579,-0.013819838967495224,12
0.0047429402369123285,-0.013819841777878318,13
0.004742940247209186,-0.01381984179305273,14
0.0047429402369123285,-0.013819841777878318,15
0.004742940248911291,-0.013819841798149364,16
0.004742939117628922,-0.01381983971809425,17
0.004742940248911291,-0.013819841798149364,18
0.0047429399177962754,-0.013819841189182955,19
0.00011995697620248446,-0.011301814585133293,20
0.00011995674746091017,-0.011301814162935395,21
0.00011995763119043636,-0.011301815786606776,22
0.00011995764175626235,-0.011301815804936227,23
0.0001199568305241262,-0.01130181431542064,24
0.00011995747990292086,-0.011301815507978534,25
0.00011995666439769414,-0.01130181401045015,26
0.00011995747499638908,-0.011301815498290787,27
0.00011995747499638908,-0.011301815498290787,28
0.00011995702733070591,-0.011301814676585687,29
-0.006669726308842167,-0.011145797083380794,30
-0.006669726380303544,-0.011145796950634368,31
-0.0066697262984108255,-0.011145797100132726,32
-0.006669728255698947,-0.01114579350824441,33
-0.0066697262984108255,-0.011145797100132726,34
-0.006669726308842167,-0.011145797083380794,35
-0.006669726302212685,-0.01114579709539561,36
-0.006669727034792538,-0.011145795749258315,37
-0.006669726308842167,-0.011145797083380794,38
-0.006669726953398778,-0.011145795898659243,39
-0.0005234455721471019,-0.020666084173718947,40
-0.0005234457453659648,-0.020666083858165162,41
-0.0005234455721471019,-0.020666084173718947,42
-0.0005234454301862561,-0.020666084440545893,43
-0.0005234455688081929,-0.020666084179887582,44
-0.0005234453950903733,-0.0206660844955388,45
-0.0005234454158185702,-0.020666084463612455,46
-0.0005234454055217148,-0.020666084478786866,47
-0.0005234455879687688,-0.020666084151480354,48
-0.0005234455565194153,-0.0206660842005441,49
-0.0040180016199178915,-0.016162384438891404,50
-0.0040180024496923265,-0.01616238291834502,51
-0.004018001631916854,-0.01616238441862036,52
-0.004018001736982678,-0.016162384221756764,53
-0.004018001625239033,-0.01616238443095763,54
-0.004018002097414207,-0.016162383560235413,55
-0.0040180017019450925,-0.016162384287815523,56
-0.004018001788245386,-0.01616238412872685,57
-0.00401800164248268,-0.01616238440029091,58
-0.0040180017881109,-0.01616238413030437,59
-0.009004297462123358,-0.0049945862650111715,60
-0.00900429429436017,-0.004994592081161462,61
-0.009004294050178887,-0.004994592529364243,62
-0.009004294308629377,-0.004994592058143465,63
-0.009004295558233705,-0.00499458976270014,64
-0.009004294039747545,-0.004994592546116174,65
-0.009004294050313373,-0.004994592527786724,66
-0.009004294039882031,-0.004994592544538655,67
-0.009004294216804275,-0.004994592224296323,68
-0.009004294035474772,-0.004994592553379882,69
-0.011320687890113403,0.018974274064034406,70
-0.011320688626495115,0.018974275414908818,71
-0.011320688035876107,0.018974274335598465,72
-0.011320688300920072,0.01897427481730511,73
-0.011320687879816545,0.018974274048859995,74
-0.011320687879816545,0.018974274048859995,75
-0.011320688453410737,0.018974275100932553,76
-0.011320688931341959,0.018974275980586184,77
-0.011320688209229456,0.01897427465272977,78
-0.01132068786925072,0.018974274030530546,79
-0.012077258013103909,0.017695977701522727,80
-0.012077258887572592,0.017695979311429064,81
-0.012077257825481353,0.017695977361373426,82
-0.012077261513035615,0.01769598412576259,83
-0.01207725784647852,0.017695977396454808,84
-0.012077258195725627,0.017695978041521183,85
