x,y,id
4.9521637,14.754945,0
4.923734,14.730621,1
4.9236426,14.72995,2
4.9263515,14.731901,3
4.9266624,14.728862,4
4.9413037,14.744281,5
4.9441247,14.747179,6
4.9238706,14.731221,7
4.9395003,14.744852,8
4.940709,14.740221,9
20.965443,13.512307,10
20.936117,13.540856,11
20.96314,13.51413,12
20.964981,13.511892,13
20.96481,13.512224,14
20.965055,13.511996,15
20.967197,13.509672,16
20.962648,13.51451,17
20.975807,13.50174,18
20.96433,13.512451,19
16.557543,-4.262673,20
16.556976,-4.2636433,21
16.562433,-4.258306,22
16.563063,-4.253059,23
16.55678,-4.263209,24
16.559603,-4.2489924,25
16.557566,-4.2614527,26
16.559574,-4.2587175,27
16.557512,-4.258373,28
16.55525,-4.261951,29
5.566237,-11.757502,30
5.5624986,-11.758227,31
5.5635924,-11.758806,32
5.5656695,-11.757283,33
5.564716,-11.757885,34
5.5652485,-11.758068,35
5.5658803,-11.7582445,36
5.565623,-11.757723,37
5.559288,-11.761248,38
5.5654316,-11.757681,39
15.312681,-4.107526,40
15.312685,-4.107519,41
15.312707,-4.108758,42
15.312709,-4.1076007,43
15.312586,-4.107435,44
15.312213,-4.1073794,45
15.312923,-4.1075587,46
15.312187,-4.1076903,47
15.312823,-4.1074734,48
15.312601,-4.107524,49
-12.601743,-5.6297736,50
-12.601944,-5.629656,51
-12.6037245,-5.629737,52
-12.599584,-5.630388,53
-12.601796,-5.6298366,54
-12.601604,-5.6294656,55
-12.601203,-5.630068,56
-12.601197,-5.6295867,57
-12.601402,-5.633807,58
-12.600508,-5.62999,59
-15.305914,0.02805236,60
-15.3092575,0.031186273,61
-15.308489,0.02986367,62
-15.3166065,0.038228378,63
-15.303781,0.025501437,64
-15.308611,0.03009853,65
-15.308431,0.029538887,66
-15.30856,0.030037241,67
-15.3190975,0.04064085,68
-15.308617,0.030162375,69
-13.678917,2.6591105,70
-13.636462,2.6985083,71
-13.655576,2.696314,72
-13.636783,2.6994655,73
-13.64482,2.6939554,74
-13.645229,2.693789,75
-13.641107,2.6963117,76
-13.6410055,2.6959524,77
-13.642906,2.6962602,78
-13.645248,2.6939414,79
-5.674351,-7.5196886,80
-5.6788664,-7.522459,81
-5.6715517,-7.5165486,82
-5.681025,-7.527103,83
-5.6750045,-7.5202837,84
-5.6754684,-7.5206637,85
-5.677739,-7.5233545,86
-5.677859,-7.5229278,87
-5.6780205,-7.523643,88
-5.6779785,-7.5235996,89
-4.973179,13.048446,90
-4.979165,13.047834,91
-4.979366,13.047835,92
-4.980197,13.046998,93
-4.9786644,13.047971,94
-4.979003,13.047903,95
-4.9791074,13.047788,96
-4.9796753,13.047341,97
-4.9791174,13.047721,98
-4.977893,13.04801,99
-13.563076,13.403979,100
-13.562968,13.40395,101
-13.562849,13.403945,102
-13.56329,13.403877,103
-13.563171,13.404001,104
-13.56422,13.404147,105
-13.563049,13.404044,106
-13.562511,13.403683,107
-13.562995,13.404217,108
-13.563173,13.404115,109
4.3477297,-14.517403,110
4.3572216,-14.511317,111
4.3521595,-14.513143,112
4.3476954,-14.517657,113
4.3522325,-14.512583,114
4.347294,-14.517577,115
4.3534164,-14.511798,116
4.332227,-14.53309,117
4.3429275,-14.522857,118
4.3582177,-14.506961,119
14.979033,-6.899888,120
14.979236,-6.8998384,121
14.978938,-6.8997536,122
14.978582,-6.899668,123
14.979032,-6.89979,124
14.979065,-6.899798,125
14.97881,-6.899723,126
14.979171,-6.8997383,127
14.97903,-6.8997555,128
14.978958,-6.899785,129
-8.537265,-0.17174335,130
-8.539788,-0.17106327,131
-8.545539,-0.17148693,132
-8.540475,-0.17195714,133
-8.565691,-0.16861513,134
-8.538102,-0.17088985,135
-8.539088,-0.17140017,136
-8.538266,-0.17127435,137
-8.566591,-0.17875887,138
-8.542097,-0.17167918,139
8.064299,13.081739,140
8.032693,13.11353,141
8.034079,13.111977,142
8.031887,13.113858,143
8.032124,13.113968,144
8.027691,13.117196,145
8.031607,13.113764,146
8.031632,13.113401,147
8.031709,13.113802,148
8.03217,13.113391,149
-7.3481307,11.276463,150
-7.3409367,11.281386,151
-7.3407745,11.281674,152
-7.345842,11.286766,153
-7.3405967,11.281462,154
-7.3410206,11.281326,155
-7.340609,11.281967,156
-7.3410263,11.281487,157
-7.3413644,11.281742,158
-7.341283,11.281769,159
0.53447896,-3.9912028,160
0.53549176,-3.9883733,161
0.5343817,-3.9899015,162
0.53465986,-3.9898734,163
0.534732,-3.9897094,164
0.5344704,-3.98971,165
0.5346312,-3.990113,166
0.5359014,-3.9924135,167
0.5347405,-3.9911904,168
0.53322995,-3.9922702,169
9.571727,12.624916,170
9.569354,12.624342,171
9.551375,12.60974,172
9.571531,12.624703,173
9.554433,12.614542,174
9.564094,12.620626,175
9.5667305,12.624513,176
9.553958,12.61639,177
9.55838,12.614857,178
9.564851,12.620871,179
-16.608753,5.383899,180
-16.609028,5.383684,181
-16.608631,5.383618,182
-16.606688,5.384878,183
-16.608404,5.3841496,184
-16.608969,5.383713,185
-16.60633,5.385513,186
